Movie Name,Release Date,Verdict,Adjusted Net Gross,Genre,Runtime,Ratings,Budget,Production Banner,Actors,Director
Masoom,1996-05-24,Hit,550669420.0,Drama,154 min,20.00% (1 Ratings),17500000.0,Mateshwari Films,"['Inder Kumar', 'Ayesha Jhulka', 'Omkar Kapoor', 'Mohan Joshi']",Mahesh Kothare
Fareb,1996-06-28,Hit,377755760.0,Thriller,137 min,0.00% (0 Ratings),12500000.0,Vishesh Films Pvt. Ltd. |  Zee Network,"['Faraaz Khan', 'Suman Ranganathan', 'Milind Gunaji', 'Vishwajeet Pradhan']",Vikram Bhatt
Taal,1999-08-13,Semi Hit,1389752670.0,Love Story,159 min,78.46% (13 Ratings),150000000.0,Mukta Arts,"['Anil Kapoor', 'Akshaye Khanna', 'Aishwarya Rai', 'Alok Nath']",Subhash Ghai
Major Saab,1998-06-26,Semi Hit,1093645240.0,Action,156 min,67.50% (4 Ratings),87500000.0,AB Corp Ltd.,"['Amitabh Bachchan', 'Ajay Devgn', 'Sonali Bendre', 'Nafisa Ali']",Tinnu Anand
Yeshwant,1997-02-07,Semi Hit,1071237630.0,Drama,144 min,97.50% (4 Ratings),57500000.0,Shalimar International,"['Nana Patekar', 'Madhoo', 'Atul Agnihotri', 'Mohan Joshi']",Anil Mattoo
Diljale,1996-09-27,Semi Hit,944004720.0,Action,163 min,89.00% (5 Ratings),55000000.0,S.P. Creations,"['Ajay Devgn', 'Madhoo', 'Sonali Bendre', 'Parmeet Sethi']",Harry Baweja
Jab Pyaar Kisise Hota Hai,1998-05-22,Semi Hit,940638770.0,Love Story,164 min,65.23% (22 Ratings),65000000.0,Tips Industries Pvt. Ltd.,"['Salman Khan', 'Twinkle Khanna', 'Johny Lever', 'Anupam Kher']",Deepak Sareen
Vaastav,1999-10-15,Semi Hit,884571660.0,Action,147 min,81.11% (9 Ratings),75000000.0,Adishakti Films,"['Sanjay Dutt', 'Namrata Shirodkar', 'Mohnish Bahl', 'Ektaa']",Mahesh Manjrekar
Jaanwar,1999-12-24,Semi Hit,866876380.0,Action,168 min,83.33% (3 Ratings),62500000.0,Shree Krishna International,"['Akshay Kumar', 'Karisma Kapoor', 'Shilpa Shetty', 'Mohnish Bahl']",Suneel Darshan
Khuddar,1994-03-25,Semi Hit,866010850.0,Action,167 min,0.00% (0 Ratings),19500000.0,Ratan International,"['Govinda', 'Karisma Kapoor', 'Shakti Kapoor', 'Kader Khan']",Iqbal Durrani
